anchor,positive,negative
"Trường hợp tác với những ai trong nghiên cứu?","Trường hợp tác với các trường đại học và viện nghiên cứu trên thế giới.","Trường chỉ hợp tác với các viện nghiên cứu trong nước."
"Trường có công bố nghiên cứu ở đâu?","Kết quả nghiên cứu được công bố tại nhiều hội thảo quốc tế và tạp chí uy tín.","Kết quả nghiên cứu chủ yếu được công bố tại các hội thảo trong nước."
"Trường có đứng trong bảng xếp hạng quốc tế không?","Trường đứng trong top 20 các cơ sở giáo dục đại học có số lượng công bố quốc tế nhiều nhất Việt Nam.","Trường không có xếp hạng quốc tế."
"Trường đã nhận giải thưởng nào?","Các nhà khoa học của trường đã vinh dự nhận giải thưởng Tạ Quang Bửu,danh hiệu trí thức khoa học và công nghệ tiêu biểu toàn quốc.","Trường chỉ nhận các giải thưởng cấp địa phương."
"Trường có phải là trường đại học đa ngành không?","Trường là đại học đa ngành uy tín trong cả nước.","Trường chỉ đào tạo về khoa học mỏ và địa chất."
"Trường có đầu tư vào cơ sở vật chất không?","Trường đầu tư cơ sở vật chất với 500 phòng học đạt chuẩn,18 phòng thí nghiệm,và trung tâm phân tích công nghệ cao.","Trường cơ sở vật chất không đủ để phục vụ toàn bộ sinh viên."
"Trường có phòng thực hành không?","Trường có hệ thống phòng thực hành hiện đại phục vụ đào tạo và nghiên cứu.","Trường không có phòng thực hành cho sinh viên."
"Trường có khuôn viên đẹp không?","Trường có khuôn viên sư phạm đẹp và thoáng mát.","Trường có khuôn viên nhỏ và không thoáng mát."
"Trường hợp tác với những tổ chức nào?","Trường mở rộng hợp tác với các trường đại học và tổ chức quốc tế về đào tạo và nghiên cứu khoa học.","Trường chỉ hợp tác với các tổ chức trong nước."
"Trường có hợp tác với bao nhiêu quốc gia?","Trường có mối quan hệ với 34 quốc gia và vùng lãnh thổ.","Trường chỉ có mối quan hệ trong nước."
"Trường có tỷ lệ sinh viên tốt nghiệp có việc làm cao không?","Trường có tỷ lệ sinh viên tốt nghiệp có việc làm đạt hơn 90%.","Tỷ lệ sinh viên có việc làm của trường dưới 50%."
"Trường có hỗ trợ sinh viên học bổng không?","Trường hỗ trợ học bổng với tổng giá trị gần 20 tỷ đồng mỗi năm.","Trường không có học bổng cho sinh viên."
"Trường có tổ chức các hoạt động ngoại khóa không?","Trường có các hoạt động thể thao và ngoại khóa sôi nổi cho sinh viên.","Trường không có các hoạt động ngoại khóa cho sinh viên."
"Phương châm của trường là gì?","Phương châm của trường là 'Tất cả vì sinh viên'.","Phương châm của trường là 'Chất lượng là trên hết'."
"Trường có bao nhiêu câu lạc bộ sinh viên?","Trường có 19 câu lạc bộ sở thích dành cho sinh viên.","Trường chỉ có 5 câu lạc bộ cho sinh viên."
"Trường có thành tích gì nổi bật?","Trường được làm rạng danh thêm từ những thành tích của sinh viên tại các giải thưởng tài năng khoa học trẻ,thi Olympic môn học.","Trường chỉ nổi bật trong thể thao,không có thành tích học thuật."
"Trường có quan hệ như thế nào với cựu sinh viên?","Trường có sự thành đạt của các thế hệ cựu sinh viên trong nhiều lĩnh vực.","Trường không có mối liên kết rõ ràng với cựu sinh viên."
"Trường Đại học Mỏ - Địa chất có được công nhận đạt chuẩn kiểm định chất lượng giáo dục không?","Năm 2018,Trường Đại học Mỏ - Địa chất chính thức được công nhận đạt chuẩn kiểm định chất lượng giáo dục cấp quốc gia.","Trường không đạt chuẩn kiểm định chất lượng giáo dục."
"Trường có bao nhiêu chương trình đào tạo đạt chuẩn kiểm định chất lượng?","Trong năm 2019-2020,11 chương trình đào tạo của trường tiếp tục được công nhận đạt chuẩn kiểm định chất lượng giáo dục quốc gia.","Trường không có chương trình đào tạo đạt chuẩn kiểm định chất lượng."
"Trường có đạt xếp hạng quốc tế không?","Trường được xếp hạng bốn sao trong hệ thống đối sánh chất lượng giáo dục UPM và nằm trong top 12 bảng xếp hạng URAP theo thành tựu học thuật.","Trường không có xếp hạng quốc tế."
"Triết lý giáo dục của trường là gì?","Triết lý giáo dục của trường là 'Nhân văn - Khai phóng - Hội nhập'.","Triết lý giáo dục của trường là 'Chất lượng là trên hết'."
"Trường có cam kết gì trong việc đào tạo nguồn nhân lực?","Trường cam kết làm tròn sứ mạng cao cả trong đào tạo nguồn nhân lực chất lượng cao,nghiên cứu khoa học và chuyển giao tri thức công nghệ.","Trường không cam kết về chất lượng đào tạo nguồn nhân lực."
"Sinh viên học tại Trường Đại học Mỏ - Địa chất có được rèn luyện toàn diện không?","Sinh viên tại trường được rèn luyện toàn diện về phẩm chất và năng lực trong bối cảnh toàn cầu.","Sinh viên tại trường chỉ được rèn luyện lý thuyết."
"Trường có phát triển môi trường học tập như thế nào?","Nhà trường không ngừng phát triển môi trường học tập,hiện đại hóa cơ sở vật chất và mở rộng hợp tác quốc tế.","Trường không phát triển môi trường học tập mà chỉ tập trung vào đào tạo lý thuyết."
"Trường có hỗ trợ sinh viên khởi nghiệp không?","Trường tích cực bồi đắp khơi gợi khát vọng khởi nghiệp trong sinh viên và tăng cường trang bị kỹ năng khởi nghiệp – đổi mới sáng tạo.","Trường không hỗ trợ sinh viên khởi nghiệp."
"Trường có mở rộng hợp tác quốc tế không?","Trường mở rộng hợp tác quốc tế để nâng cao chất lượng đào tạo và nghiên cứu.","Trường chỉ hợp tác trong nước,không mở rộng hợp tác quốc tế."
"Trường có chú trọng vào đổi mới sáng tạo không?","Trường chú trọng vào đổi mới sáng tạo,tăng cường trang bị kỹ năng khởi nghiệp cho sinh viên.","Trường không chú trọng vào đổi mới sáng tạo mà chỉ tập trung vào kiến thức truyền thống."
"Trường có tổ chức các hoạt động kết nối sinh viên với doanh nghiệp không?","Trường tổ chức các hoạt động kết nối người học với doanh nghiệp,tạo lập môi trường tốt cho sinh viên đam mê khởi nghiệp.","Trường không tổ chức các hoạt động kết nối với doanh nghiệp."
"Trường có chú trọng đến việc mở rộng quan hệ hợp tác không?","Trường đặc biệt chú trọng đến việc mở rộng quan hệ hợp tác trong đào tạo và nghiên cứu khoa học.","Trường không chú trọng đến hợp tác quốc tế và trong nước."
"Trường có bao nhiêu đề tài nghiên cứu khoa học đã thực hiện?","Trường đã thực hiện 32 đề tài nghiên cứu khoa học cấp nhà nước,86 đề tài cấp Bộ và 211 đề tài cấp Trường.","Trường chỉ thực hiện 10 đề tài nghiên cứu khoa học mỗi năm."
"Trường có bao nhiêu đề tài nghiên cứu của sinh viên?","Trường có 1359 đề tài nghiên cứu khoa học của sinh viên.","Trường không có đề tài nghiên cứu khoa học sinh viên."
"Trường có thành tích gì đáng chú ý trong 58 năm qua?","Trường được Đảng và Nhà nước tặng thưởng nhiều phần thưởng cao quý như Huân chương Độc lập,Huân Chương Hồ Chí Minh,Danh hiệu Anh hùng Lao động.","Trường không có thành tích nổi bật trong suốt 58 năm qua."
"Trường có danh hiệu Anh hùng Lao động không?","Trường được tặng danh hiệu Anh hùng Lao động năm 2004.","Trường không có danh hiệu Anh hùng Lao động."
"Trường có được Huân chương Độc lập không?","Trường đã được tặng Huân chương Độc lập hạng Ba năm 2016,Huân chương Độc lập hạng Nhất năm 2001.","Trường không có Huân chương Độc lập."
"Trường có thành tựu gì trong lĩnh vực đào tạo khoa học kỹ thuật?","Trường là trường đại học chuyên ngành lớn duy nhất đào tạo cán bộ khoa học kỹ thuật trong các lĩnh vực mỏ,địa chất,môi trường.","Trường không có thành tựu trong đào tạo khoa học kỹ thuật."
"Trường có đào tạo các lĩnh vực gì?","Trường đào tạo các lĩnh vực như điều tra khai thác tài nguyên khoáng sản,bảo vệ môi trường,đo đạc lãnh thổ,quản lý đất đai.","Trường chỉ đào tạo ngành mỏ và địa chất."
"Trường có mối quan hệ gì với Đảng và Nhà nước?","Trường luôn được Đảng và Nhà nước tặng nhiều phần thưởng cao quý như Huân chương Độc lập,Huân Chương Hồ Chí Minh.","Trường không có mối quan hệ nổi bật với Đảng và Nhà nước."
"Trường có nhận được các giải thưởng cao quý không?","Trường đã nhận nhiều phần thưởng cao quý như Huân chương Độc lập,Huân Chương Hồ Chí Minh,Danh hiệu Anh hùng Lao động.","Trường không có giải thưởng cao quý nào."
"Trường có được công nhận là Tập thể Lao động Xuất sắc không?","Trường liên tục được công nhận là 'Tập thể Lao động Xuất sắc' nhiều năm liền.","Trường không được công nhận là 'Tập thể Lao động Xuất sắc'."
"Trường có bao nhiêu Huân chương Độc lập?","Trường đã nhận Huân chương Độc lập hạng Ba năm 2016,hạng Nhất năm 2001 và hạng Nhì năm 1996.","Trường không nhận Huân chương Độc lập."
"Trường có nhận được các Bằng khen của Thủ tướng Chính phủ không?","Trường nhận Bằng khen của Thủ tướng Chính phủ vào các năm 1998 và 2011.","Trường không nhận Bằng khen của Thủ tướng Chính phủ."
"Trường có Cờ thi đua của Chính phủ không?","Trường đã nhận Cờ thi đua của Chính phủ trong các năm 2011 và 2016.","Trường không nhận Cờ thi đua của Chính phủ."
"Trường có bao nhiêu khu cơ sở vật chất?","Trường có nhiều khu cơ sở vật chất,bao gồm Khu A,B,C và Khu M.","Trường chỉ có một khu cơ sở vật chất duy nhất."
"Các khu ký túc xá của trường có gì đặc biệt?","Trường có ký túc xá 9 tầng (Nhà D3) và ký túc xá 5 tầng (Nhà D4).","Trường chỉ có một khu ký túc xá nhỏ."
"Các giảng đường và khu giáo dục thể chất của trường được bố trí như thế nào?","Các giảng đường và khu giáo dục thể chất được bố trí ở các khu A,B,C và khu giáo dục quốc phòng thuộc khối nhà H.","Giảng đường và khu giáo dục thể chất chỉ có một khu nhỏ."
"Trường có cơ sở thực tập ở đâu?","Trường có cơ sở thực tập tại phường Phai Vệ – Thành phố Lạng Sơn.","Trường không có cơ sở thực tập riêng biệt."
"Trường có hệ thống cơ sở vật chất như thế nào?","Trường có hệ thống cơ sở vật chất hiện đại và phong phú phục vụ học tập và nghiên cứu.","Cơ sở vật chất của trường còn thiếu và không đủ cho nhu cầu học tập."
"Trường có bao nhiêu khu cơ sở vật chất?","Trường có các khu cơ sở vật chất chính: Khu A,Khu B và khu đô thị đại học.","Trường chỉ có một khu cơ sở vật chất."
"Khu A của trường có những phòng học nào?","Khu A bao gồm 61 giảng đường,trong đó có 56 phòng học và 4 phòng học chương trình tiên tiến.","Khu A chỉ có 30 phòng học."
"Khu B của trường phục vụ mục đích gì?","Khu B gồm 51 giảng đường và phòng học,là nơi tổ chức các hoạt động thể chất và giáo dục quốc phòng.","Khu B không có giảng đường và chỉ dùng cho văn phòng."
"Trường có tiếp tục đầu tư vào cơ sở vật chất không?","Nhà trường đang tiếp tục đầu tư cơ sở vật chất tại khu đô thị đại học để phù hợp với chiến lược phát triển trong tương lai.","Trường không có kế hoạch đầu tư vào cơ sở vật chất."
"Trường có hệ thống phòng học hiện đại không?","Trường có hệ thống phòng học hiện đại và đa dạng phục vụ nhu cầu học tập của sinh viên.","Trường có phòng học cơ bản,không hiện đại."
"Trường có bao nhiêu phòng thí nghiệm?","Trường có nhiều phòng thí nghiệm,bao gồm phòng thí nghiệm Khoa Công nghệ thông tin,Công nghệ - Áp lực và thông gió hầm lò,tự động hóa xí nghiệp mỏ - dầu khí,lọc hóa dầu.","Trường chỉ có một phòng thí nghiệm duy nhất."
"Phòng thí nghiệm Khoa Công nghệ thông tin có chức năng gì?","Phòng thí nghiệm Khoa Công nghệ thông tin phục vụ các công tác thực hành,nghiên cứu khoa học,triển khai công nghệ cho sinh viên ngành công nghệ thông tin.","Phòng thí nghiệm Khoa Công nghệ thông tin chỉ phục vụ cho giảng dạy lý thuyết."
"Phòng thí nghiệm Công nghệ - Áp lực và thông gió hầm lò phục vụ công tác gì?","Phòng thí nghiệm này phục vụ công tác đào tạo,nghiên cứu khoa học và chuyển giao công nghệ trong lĩnh vực khai thác mỏ và môi trường.","Phòng thí nghiệm này chỉ phục vụ cho các thí nghiệm hóa học cơ bản."
"Phòng thí nghiệm tự động hóa xí nghiệp mỏ - dầu khí có chức năng gì?","Phòng thí nghiệm này tạo môi trường thuận lợi cho thực hành,đào tạo,nghiên cứu và hợp tác nghiên cứu với các tổ chức bên ngoài.","Phòng thí nghiệm này không có khả năng hợp tác với bên ngoài."
"Phòng thí nghiệm lọc hóa dầu có nhiệm vụ gì?","Phòng thí nghiệm lọc hóa dầu phục vụ cho công tác nghiên cứu và thí nghiệm trong ngành lọc hóa dầu.","Phòng thí nghiệm lọc hóa dầu chỉ dùng cho công tác nghiên cứu lý thuyết."
"Phòng thí nghiệm tự động hóa xí nghiệp mỏ - dầu khí tạo môi trường thuận lợi cho công tác gì?","Phòng thí nghiệm hỗ trợ đào tạo,nghiên cứu khoa học và chuyển giao công nghệ cho các tổ chức,cá nhân bên ngoài.","Phòng thí nghiệm chỉ phục vụ cho các hoạt động giảng dạy và nghiên cứu trong trường."
"Phòng thí nghiệm lọc hóa dầu phục vụ cho môn học nào?","Phòng thí nghiệm phục vụ cho các môn học thí nghiệm chuyên ngành Lọc - Hóa dầu.","Phòng thí nghiệm không phục vụ cho các môn học chuyên ngành mà chỉ dùng cho nghiên cứu sinh."
"Phòng thí nghiệm Khoa Địa chất phục vụ cho công tác gì?","Phòng thí nghiệm phục vụ công tác đào tạo,nghiên cứu khoa học,và chuyển giao công nghệ của Nhà trường và Bộ môn.","Phòng thí nghiệm chỉ phục vụ cho các hoạt động nghiên cứu trong ngành địa chất."
"Phòng thí nghiệm khoa Trắc địa bản đồ có trang thiết bị gì?","Phòng thí nghiệm trang bị các máy GPS,toàn đạc điện tử,máy tính,và các công cụ đo đạc phục vụ nghiên cứu khoa học.","Phòng thí nghiệm không có trang thiết bị gì ngoài máy tính và máy in."
"Phòng thực nghiệm - Quản trị kinh doanh phục vụ cho các chuyên ngành nào?","Phòng thực nghiệm phục vụ cho các chuyên ngành Quản trị kinh doanh,Quản trị kinh doanh Mỏ,Quản trị kinh doanh Địa chất Dầu khí,và Kế toán doanh nghiệp.","Phòng thực nghiệm chỉ phục vụ cho ngành Kế toán Tài chính công."
"Phòng thí nghiệm khoa môi trường giảng dạy môn học gì?","Phòng thí nghiệm giảng dạy các môn học như thí nghiệm hóa học môi trường,thí nghiệm vi hóa sinh môi trường,và thực tập công nghệ sinh học.","Phòng thí nghiệm không giảng dạy môn học về kỹ thuật môi trường mà chỉ nghiên cứu."
"Phòng thí nghiệm tự động hóa xí nghiệp mỏ - dầu khí có hợp tác với ai?","Phòng thí nghiệm hợp tác đào tạo,nghiên cứu và chuyển giao công nghệ với các tổ chức và cá nhân bên ngoài.","Phòng thí nghiệm chỉ làm việc với các tổ chức trong trường mà không hợp tác với bên ngoài."
"Phòng thí nghiệm lọc hóa dầu có hoạt động nghiên cứu khoa học sinh viên không?","Phòng thí nghiệm có hàng chục nhóm sinh viên tham gia nghiên cứu khoa học mỗi năm.","Phòng thí nghiệm không có hoạt động nghiên cứu khoa học mà chỉ phục vụ thực hành thí nghiệm."
"Phòng thí nghiệm Khoa Địa chất thực hiện những đề tài khoa học gì?","Phòng thí nghiệm thực hiện các đề tài khoa học công nghệ và đề tài sản xuất liên quan đến ngành địa chất.","Phòng thí nghiệm chỉ thực hiện các nghiên cứu về công trình xây dựng."
"Phòng thí nghiệm khoa Trắc địa bản đồ phục vụ nghiên cứu trên những khu vực nào?","Phòng thí nghiệm phục vụ nghiên cứu trên đất liền và biển,phục vụ các công trình nghiên cứu địa lý.","Phòng thí nghiệm chỉ phục vụ cho nghiên cứu trong các khu vực đất liền."
"Phòng thực nghiệm - Quản trị kinh doanh phục vụ cho môn học nào?","Phòng thực nghiệm phục vụ cho các môn học về quản trị kinh doanh và kế toán doanh nghiệp.","Phòng thực nghiệm không phục vụ cho các môn học về Quản trị kinh doanh."
"Phòng thí nghiệm khoa môi trường nghiên cứu lĩnh vực gì?","Phòng thí nghiệm nghiên cứu các lĩnh vực như công nghệ môi trường,quản lý môi trường,công nghệ sinh học,và kỹ thuật môi trường.","Phòng thí nghiệm chỉ nghiên cứu về kỹ thuật môi trường và không quan tâm đến công nghệ sinh học."
"Phòng thí nghiệm tự động hóa xí nghiệp mỏ - dầu khí có hợp tác với ai ngoài trường không?","Phòng thí nghiệm hợp tác với các tổ chức và cá nhân bên ngoài trong đào tạo và nghiên cứu.","Phòng thí nghiệm chỉ hợp tác với các bộ môn trong trường."
"Phòng thí nghiệm lọc hóa dầu có hợp tác nghiên cứu với đơn vị ngoài trường không?","Phòng thí nghiệm có hợp tác nghiên cứu với các cá nhân và đơn vị nghiên cứu ngoài trường.","Phòng thí nghiệm không có hợp tác nghiên cứu với đơn vị bên ngoài."
"Phòng thí nghiệm Khoa Địa chất chuyển giao công nghệ gì?","Phòng thí nghiệm thực hiện chuyển giao công nghệ trong các công trình và dự án của Nhà trường và Bộ môn.","Phòng thí nghiệm không tham gia chuyển giao công nghệ cho bên ngoài."
"Phòng thí nghiệm khoa Trắc địa bản đồ có những thiết bị gì phục vụ nghiên cứu?","Phòng thí nghiệm có các máy GPS,máy toàn đạc điện tử,và các công cụ đo đạc khác phục vụ nghiên cứu địa lý và nghiên cứu trên biển.","Phòng thí nghiệm không có các công cụ đo đạc và chỉ có máy tính và máy in."
"Phòng thực nghiệm - Quản trị kinh doanh phục vụ cho các chuyên ngành nào trong lĩnh vực quản trị?","Phòng thực nghiệm phục vụ cho các chuyên ngành như Quản trị kinh doanh Mỏ và Quản trị kinh doanh Địa chất Dầu khí.","Phòng thực nghiệm chỉ phục vụ cho ngành Kế toán Tài chính công."
"Phòng thí nghiệm khoa môi trường có giảng dạy các môn thí nghiệm không?","Phòng thí nghiệm giảng dạy các môn thí nghiệm hóa học môi trường và thí nghiệm vi hóa sinh môi trường.","Phòng thí nghiệm không giảng dạy môn học về công nghệ môi trường."
"Phòng thí nghiệm tự động hóa xí nghiệp mỏ - dầu khí hỗ trợ công tác gì ngoài đào tạo?","Phòng thí nghiệm còn hỗ trợ nghiên cứu khoa học và chuyển giao công nghệ cho các tổ chức bên ngoài.","Phòng thí nghiệm chỉ phục vụ công tác đào tạo mà không tham gia nghiên cứu hay chuyển giao công nghệ."
"Phòng thí nghiệm lọc hóa dầu phục vụ cho các đối tượng nào?","Phòng thí nghiệm phục vụ cho sinh viên,học viên cao học,nghiên cứu sinh và các giảng viên trong ngành.","Phòng thí nghiệm chỉ phục vụ cho sinh viên thực tập tốt nghiệp."
"Phòng thí nghiệm Khoa Địa chất có phục vụ đào tạo cho nghiên cứu sinh không?","Phòng thí nghiệm phục vụ đào tạo cho sinh viên,học viên,nghiên cứu sinh và thực hiện các đề tài khoa học công nghệ.","Phòng thí nghiệm chỉ phục vụ sinh viên và không hỗ trợ nghiên cứu sinh."
"Phòng thí nghiệm khoa Trắc địa bản đồ có sử dụng máy móc gì?","Phòng thí nghiệm sử dụng máy GPS,máy toàn đạc điện tử,máy chiếu và các thiết bị khác phục vụ nghiên cứu.","Phòng thí nghiệm chỉ có máy tính và máy in mà không sử dụng máy GPS hay máy đo đạc."
"Phòng thực nghiệm - Quản trị kinh doanh phục vụ cho các chuyên ngành nào trong lĩnh vực kế toán?","Phòng thực nghiệm phục vụ các chuyên ngành Kế toán doanh nghiệp và Kế toán Tài chính công.","Phòng thực nghiệm chỉ phục vụ cho chuyên ngành Quản trị kinh doanh."
"Phòng thí nghiệm khoa môi trường nghiên cứu những lĩnh vực gì?","Phòng thí nghiệm nghiên cứu công nghệ môi trường,quản lý môi trường,và kỹ thuật môi trường.","Phòng thí nghiệm chỉ nghiên cứu về công nghệ sinh học."
"Phòng thí nghiệm tự động hóa xí nghiệp mỏ - dầu khí hỗ trợ những hoạt động nào?","Phòng thí nghiệm hỗ trợ nghiên cứu,đào tạo,và chuyển giao công nghệ cho các tổ chức ngoài trường.","Phòng thí nghiệm chỉ phục vụ cho hoạt động đào tạo sinh viên."
"Phòng thí nghiệm lọc hóa dầu có hợp tác nghiên cứu với các cá nhân không?","Phòng thí nghiệm hợp tác nghiên cứu với các cá nhân ngoài trường và thực hiện phân tích mẫu.","Phòng thí nghiệm không hợp tác nghiên cứu với các cá nhân mà chỉ hỗ trợ sinh viên."
"Phòng thí nghiệm Khoa Xây dựng hỗ trợ công tác gì?","Phòng thí nghiệm Khoa Xây dựng hỗ trợ thí nghiệm cho các môn học,thực hành nghiên cứu và các đề tài khoa học.","Phòng thí nghiệm Khoa Xây dựng chỉ phục vụ cho các môn học cơ bản mà không tham gia nghiên cứu khoa học."
"Trung tâm phân tích,thí nghiệm công nghệ cao phục vụ nghiên cứu trong lĩnh vực nào?","Trung tâm phân tích phục vụ nghiên cứu khoa học trong các lĩnh vực Địa chất,Địa chất thủy văn,Môi trường và Dầu khí.","Trung tâm phân tích chỉ phục vụ nghiên cứu trong lĩnh vực Môi trường mà không có thiết bị cho Địa chất hay Dầu khí."
"Trường Đại học Mỏ - Địa chất có bao nhiêu khoa?","Trường Đại học Mỏ - Địa chất có 12 khoa,bao gồm các khoa như Khoa Công nghệ Thông tin,Khoa Mỏ,Khoa Xây dựng,và các khoa khác.","Trường có 8 khoa,không có khoa Khoa học cơ bản và Khoa Giáo dục Quốc phòng."
"Phòng Đào tạo Đại học thuộc phòng ban nào trong trường?","Phòng Đào tạo Đại học là một trong các phòng ban trong trường,có nhiệm vụ liên quan đến công tác đào tạo sinh viên đại học.","Phòng Đào tạo Đại học là bộ phận chỉ chuyên trách công tác nghiên cứu và không tham gia đào tạo sinh viên."
"Trung tâm Dịch vụ của trường có chức năng gì?","Trung tâm Dịch vụ cung cấp các dịch vụ hỗ trợ cho sinh viên và cán bộ trong trường.","Trung tâm Dịch vụ chỉ cung cấp dịch vụ y tế và không hỗ trợ các dịch vụ khác."
"Công ty CODECO thuộc về lĩnh vực nào?","Công ty CODECO chuyên về tư vấn,triển khai công nghệ và xây dựng trong lĩnh vực mỏ và địa chất.","Công ty CODECO chỉ chuyên về công nghệ thông tin và không hoạt động trong lĩnh vực mỏ."
"Thư viện của Trường Đại học Mỏ - Địa chất cung cấp những tài liệu gì?","Thư viện cung cấp hơn 19,400 đầu sách,bao gồm sách tham khảo tiếng Việt,sách ngoại văn,luận văn,giáo trình và các bài giảng chuyên ngành.","Thư viện chỉ cung cấp sách giáo khoa cơ bản và không có các tài liệu nghiên cứu chuyên ngành."
"Trung tâm Phân tích,Thí nghiệm Công nghệ cao phục vụ nghiên cứu trong lĩnh vực nào?","Trung tâm phục vụ nghiên cứu khoa học trong các lĩnh vực Địa chất - Khoáng sản,Địa chất thủy văn,Môi trường và Dầu khí.","Trung tâm chỉ phục vụ nghiên cứu cho ngành Địa lý và không liên quan đến Dầu khí."
"Phòng Đảm bảo chất lượng giáo dục có nhiệm vụ gì?","Phòng Đảm bảo chất lượng giáo dục có nhiệm vụ kiểm soát và nâng cao chất lượng đào tạo của trường.","Phòng Đảm bảo chất lượng giáo dục chỉ phụ trách các hoạt động hành chính và không liên quan đến giảng dạy."
"Trung tâm Thông tin - Thư viện của trường có chức năng gì?","Trung tâm Thông tin - Thư viện cung cấp tài liệu học tập và nghiên cứu cho sinh viên,giảng viên trong trường.","Trung tâm Thông tin - Thư viện chỉ cung cấp tài liệu cho cán bộ,không phục vụ sinh viên."
"Phòng Cơ sở vật chất có nhiệm vụ gì trong trường?","Phòng Cơ sở vật chất quản lý các cơ sở vật chất và trang thiết bị phục vụ giảng dạy và học tập.","Phòng Cơ sở vật chất chỉ quản lý các văn phòng làm việc của cán bộ,không liên quan đến cơ sở vật chất giảng dạy."
"Trung tâm Dịch vụ hỗ trợ những đối tượng nào?","Trung tâm Dịch vụ hỗ trợ sinh viên,cán bộ và giảng viên trong trường.","Trung tâm Dịch vụ chỉ hỗ trợ cho các cán bộ và không phục vụ sinh viên."
"Phòng Kế hoạch Tài chính có nhiệm vụ gì?","Phòng Kế hoạch Tài chính có nhiệm vụ lập kế hoạch tài chính và quản lý ngân sách của trường.","Phòng Kế hoạch Tài chính chỉ đảm nhận công tác hành chính và không liên quan đến tài chính."
"Trường Đại học Mỏ - Địa chất có các phòng ban nào?","Trường có các phòng ban như Phòng Công tác Chính trị - Sinh viên,Phòng Đào tạo,Phòng Hợp tác Quốc tế,và nhiều phòng ban khác.","Trường có các phòng ban chủ yếu phục vụ cho công tác đào tạo mà không có phòng hợp tác quốc tế."
"Thư viện điện tử VNEUs có tác dụng gì?","Thư viện điện tử VNEUs giúp sinh viên và giảng viên truy cập nguồn tài liệu số phong phú một cách thuận tiện.","Thư viện điện tử VNEUs không hỗ trợ tài liệu số mà chỉ cung cấp tài liệu giấy."
"Phòng Hành chính - Tổng hợp có vai trò gì?","Phòng Hành chính - Tổng hợp đảm nhận các công tác hành chính,tổng hợp báo cáo và quản lý hồ sơ của trường.","Phòng Hành chính - Tổng hợp chỉ chịu trách nhiệm về công tác giảng dạy và không liên quan đến hành chính."
"Trung tâm Thông tin - Thư viện của trường có các dịch vụ gì?","Trung tâm cung cấp các dịch vụ về tài liệu học tập và nghiên cứu,hỗ trợ truy cập các tài liệu số.","Trung tâm chỉ cung cấp dịch vụ thư viện cho sinh viên,không phục vụ cho giảng viên."
